course_code,title,credits,type_name,objective,teaching_methods,content,learning_material,teaching_method,qualifications,employer_connections,exam_schedule,international_connections,workload,content_scheduling,course_information,further_information,evaluation_scale,unit_title,teaching_method_online,teaching_method_contact,min_seats,max_seats
HTGP0020-3002,Business Communication,2.0,Realization,"To succeed in business you need to know how to promote and communicate efficiently. In this course you will learn the importance of business communications and business operations. You will understand how to communicate with clients and other stakeholders as well as how to promote your products and skills.

Course Competences
Business Competence
Internationalisation and communications competence
Entrepreneurship, innovation and working community competence

After completing the course you understand common terminology and conventions in  business communication, and know how to promote a product or skills.",,"Business language
Efficient presentation techniques
Different pitching styles",Teachers materials and slides,Contact,-,,Implementation doesn’t include a final exam.,,"One credit corresponds to an average of 27 hours of work, which means that the load of two credits is approximately 54 hours.

- Contact lessons and workshops 1h 45min * 7 = 12h 15min
- Assignments and quizes 21 hours
- Materials 20 h 45min",,,"The course grade is determined as follows:
-  Written assignments 30%
- Oral presentation 20%
- Knowledge tests 30%
- Group projects 20%",0-5,School of Business,0.0,2.0,20.0,80.0
ZZPP0520-3238,Development as an Expert,5.0,Realization,"During the course you will be prepared for studies at University of Applied Sciences and become part of the study and operating environment. You will find information about  studies and professional options in your field. You will learn to evaluate your skills, set professional goals, make choices in your studies and put them into practice. You will be prepared for a job search and will be aware of opportunities for further studies. You can evaluate, develop and maintain your well-being.",,"1st year:
You do the pre-assignments. You attend the orientation days and info sessions. You attach to the studies and community. You recognize the factors that sustain your well-being and know the guidance services of JAMK. You get to know yourself as a university level student and start to build your own study and career plan (PLP) with the guidance of your teacher tutor. You are able to operate in the learning and operating environments of JAMK, knowing your rights and responsibilities as well as ethical guidelines.

2nd-4th year:
You update your study and career plans and have an annual PLP discussion with your career tutor. You assess your skills, set professional goals for yourself, and take them into account when planning your studies. You will be prepared for a job search and be aware of career and postgraduate opportunities.

The course includes guidelines for reporting skills organized by the Language Center.",,Contact,-,,,,,,,,0-5,School of Business,0.0,5.0,0.0,30.0
ZZPC0220-3195,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.","ATTENTION: This implementation is full and no more registrations are being accepted. Updated 20th Sept.
-------------

Online implementation: 25 September - 17 December 2023

Online courses are recommended for students who have strong English skills and who are able to use English in their everyday lives, as the course does dot provide a similar English-speaking environment that the classroom on a face-to-face implementation creates. You need basic computing skills, web camera and microphone.

Kick-off webinar on Zoom on Tue 26 September 8:30 - 9:30am. Attending it is highly recommended; alternatively watch its recording within three days. The address to the Zoom meeting is sent to the enrolled students by the webinar day. It can be found on Moodle that day, too.

The course is divided into five parts and is timetabled, which means that you need to finish each part in the order given and by the deadline for the part. Therefore, good time-management skills are important.

You will have both written and oral learning assignments. The oral assignments are videos. There are also group assignments and an exam. You can sit the exam at any Exam Studio or alternatively at Rajakatu main campus in Jyväskylä.

The topics include:
- studies 
- work and looking for employment
- communication in working life
- professional writing 
- field-specific terminology 
- presentations","The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions","Lecturer’s material on Moodle.

In addition, the students need to search information and material relevant to their field of study.",Online,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,"Exam taken at an exam studio during the last week of the implementation. If necessary, alternatively an exam in a classroom at main campus in Rajakatu 35. Date and time to be informed during the implementation.

Two re-sit exam possibilities in January and early February 2024.",,"Estimated workload:

-	Kick-off webinar, 1 hour
-	Familiarization with online course environment, self-study and learning assignments: ~102 hours
-	Group assignment: 5 hours


Total 108 hours (one credit equals 27 hours of student work)",,,"The level of this course is B2 (https://europass.cedefop.europa.eu/sites/default/files/cefr-fi.pdf). 

Lecturer's feedback on the assignments, tasks and exercises on Moodle, self-assessment, peer-assessment.

Besides the exam, the course includes several assignments that contribute to the course grade. 
	
It is necessary for the students to master basic computing skills such as making and sharing videos.",0-5,TA94 - Kielikeskus,4.0,0.0,0.0,30.0
ZZPC0220-3200,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.","NB! THE COURSE IS FULL.
This is an online course, and you study independently in Moodle. Online courses are recommended for students who have strong English skills, and who are able to use English in their everyday lives. You need basic computing skills, web camera and microphone. The teaching language of this course is English.

You do written and oral learning assignments in Moodle. The oral assignments are videos. There is an oral and written exam in the course. The written exam is in Exam studio. The oral exam is a recorded group discussion in  Zoom/Teams.

The topics of the course are as follows:
- studies and job search
- communication in working life, for example, e-mails, opinions
- professional writing 
- field-specific terminology 
- presentations, group discussions","The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions",Teacher’s material will be used in the course.,Online,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,Exams 20.11-8.12 in Exam studio.  Retake possibilities in January 2024.,,"The estimated student workload in this course is as follows:

-	Online lessons/meetings: 5 hours
-	Familiarization with online course environment, self-study and learning assignments: 75-85 hours
-	Group work: 5 hours
-	Preparation for the exam 5 hours

Total 108 hours (one credit equals 27 hours of student work)",,,"The level of this course is B2 (https://europass.cedefop.europa.eu/sites/default/files/cefr-fi.pdf). 
		
It is necessary for the students to master basic computing skills such as making videos and sharing videos.",0-5,TA94 - Kielikeskus,4.0,0.0,12.0,15.0
ZZPC0220-3202,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.","THIS IMPLEMENTATION IS FULL

This is an online implementation that is timetabled and requires the student to follow the timetable and to be able to work actively on the assignments. Please read through the following course description carefully.

The course has a VOLUNTARY start lesson on ZOOM on Mon 4th September 5 – 6.30 pm. If you cannot participate in the start webinar, you are expected to watch the recording of it which is available in our Moodle workspace after the webinar. After the start webinar, there will be voluntary unit introduction webinars on Zoom.

The course is in five parts. Each part needs to be finished in the order given and by the deadline for the part. Therefore, good time-management skills are important. After this, there is a written exam that the student can sit at Rajakatu campus or in Exam Studio during weeks 48-51.

Online courses are recommended for students who have strong English skills, and who are able to use English in their everyday lives, as the course does not provide a similar English-speaking environment that the classroom on a contact implementation creates. You need a web camera and a microphone. It is necessary for the students to master basic computing skills such as making videos and sharing videos.

The level of this course is B2 (https://europass.cedefop.europa.eu/sites/default/files/cefr-fi.pdf), which is upper-intermediate level. The course is conducted fully in English.

The course includes several assignments that contribute to the final mark. You will have both written and oral learning assignments. The oral assignments are videos. There are also group assignments and an exam. Re-requisite: Reporting Skills or similar skills in referencing otherwise acquired.

The topics of the course are as follows:

- studies and job search
- communication in working life, for example, e-mails, opinions
- professional writing
- field-specific terminology
- presentations","The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions",The teacher's material will be used in the course. The material is available in Moodle and additional support material can be provided if needed.,Online,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,Written exam that the student can sit at Rajakatu campus or in Exam Studio during weeks 48-51.Retake possibilities are scheduled separately in January-February 2023.,,"The estimated student workload in this course is as follows:

- Online lessons/meetings: 5 hours 
- Familiarization with online course environment, self-study and learning assignments: 80-90 hours
- Group work: 5 hours
- Preparation for the exam 5-15 hours

Total 108 hours (one credit equals 27 hours of student work)",,,"Assessment is based on the course assignments and the exam.

The level of this course is B2 (https://europass.cedefop.europa.eu/sites/default/files/cefr-fi.pdf).

It is necessary for the students to master basic computing skills such as making videos and sharing videos.",0-5,TA94 - Kielikeskus,4.0,0.0,12.0,30.0
ZZPC0220-3211,English for Working Life,4.0,Realization,"In the course English for Working Life you will learn to operate in English in situations related to international working life.  

You will also increase your self-confidence in speaking and writing in professional contexts. In addition, you will learn to follow the developments in your field locally and globally.   

After taking the course, you will have learned to write texts related to your future profession in an appropriate style. You will also have gained confidence in spoken interaction and acquired vocabulary that will benefit you later in your career.

Communication and Team-working: You are able to function effectively in a national and international context and you are able to cooperate effectively with specialists in your own field as well as with other groups of professionals.",,"The central contents of the course are: 
- telling about your studies and looking for employment  
- oral and written communication in working life, for example meetings, small talk, customer service, telephoning and emailing, and expressing your own opinion  
- producing formal text, such as reports, instructions or summaries  
- field-specific terminology  
- presentations, workshops, group discussions",,Online,"The course is on level B2 in the Common European Framework of Reference for Languages. If the course Improve your English was recommended to you at the beginning of your studies, please take it before enrolling for English for Working Life.  

In this course you will need the basic ICT-skills, such as word processing and creating audio and video files.",,,,,,,,0-5,TA94 - Kielikeskus,4.0,0.0,12.0,30.0
TTC8060-3008,Deep Learning,5.0,Realization,"You understand the significance of deep learning in the digitalized operational environment. You know about the most common methods of deep learning and how to apply them in practice to existing data as well as interpret the results of the methods.

EUR-ACE Competences:
Knowledge and Understanding
Engineering Practice
Research and information retrieval",Virtual study including doing assignments and familiarizing yourself with related lecture and example materials.,"- Various neural networks and their architectures and uses (e.g. CNN, RNN, LSTM, Autoencoder).
- Work with open source neural network tools
- Transfer learning
- Prediction
- Machine vision
- NLP","The material for the assignments and the content to be studied will be shared during the course. The course utilizes the Python 3.9+ environment, Git version control, scikit-learn, TensorFlow 2, Keras and other visualization and deep learning libraries.",Online,"Basics in ICT, programming, knowledge and know-how of Python programming language.

Additionally, courses in Data Preprocessing and Computational algorithms.",The aim is to connect the content of the course to problems that occur in working life.,,,The workload of one credit corresponds to 27 hours of study. The total amount of study work (5 ECTS) in the course is 135 hours.,"The learning materials are published at the start of the course and are supplemented if necessary during the course. 
More detailed installation instructions for the environments used in the course are also given at the beginning of the course.",,"The course is evaluated using returned assignments.
The assessment methods are reviewed at the beginning of the course.",0-5,School of Technology,5.0,0.0,0.0,30.0
TTC1050-3019,Data Structures and Algorithms,3.0,Realization,"Purpose:
After completing the course you understand the basic concepts regarding algorithm and its implementation. Additionally, you are able to select the applicable data structures to implement an algorithm and assess its effectiveness.

EUR-ACE Competences:
Knowledge and Understanding
Engineering Practice
Investigations and information retrieval 

Objectives:
You are able to describe and interpret algorithms and evaluate their functionality and effectiveness in different situations. In addition, you know the most important data structures and are able to choose suitable algorithms for them regardless of the implementation language and platform.","- lectures
- independent study
- distance learning
- assignments",The course introduces various types of algorithms and the most common algorithms. You learn the measurement of algorithm effectiveness with the most important algorithms. The algorithm types are discussed starting from the basic data structures advancing to more complicated (tree and networks) implementations. The course discusses the features of various types of algorithms and data structures regardless of implementation language or platform.,Materials in the e-learning environment.,Contact,"Prerequisites
Basics in Programming",,,,"One credit (1 Cr) corresponds to an average of 27 hours of work.

- lectures 20 h
- assignment 45 h
- independent study 16 h

Total 81 h",,"Technologies discussed in the course: algorithm types, effectiveness classification and analysis, data search and classification algorithms for various data structures, data search and saving techniques, abstract data structures, lists, queues, stacks, trees and networks as well the algorithms related to them.","The evaluation is based on a set of the following assignment types:

- Assignments
- Practical Work",0-5,School of Technology,0.0,3.0,20.0,35.0
TTHA0110-3004,Supplementary Training,15.0,Realization,"You understand the characteristics of professional tasks and based on learning at work place is able to use their own judgement for decision-making.  In addition, you have good command of general working life skills and you are able to assess and identify your own competences.

Competences:
EUR-ACE: Multidisciplinary competences 
EUR-ACE: Engineering practice 
EUR-ACE: Communication and team-working",,"The specific contents of the practical training depend on the placement. In addition to professional learning, the student gains general working life skills as well as organizational and social skills.",,Contact,The student must have sufficient competence in relation to the goals defined in the practical training plan.,,,,,,,,Pass/Fail,School of Technology,0.0,15.0,20.0,300.0
TTHA0100-3004,Practical Training,30.0,Realization,"Course objectives
In a guided way, you will familiarize yourself with the tasks that are central to your degree. At the same time, you will learn to analyze areas for development in working life.

In the internship, you will familiarize yourself with the practical tasks that are central to professional studies and develop skills for your future career. In addition, you will learn general working life skills and gain experience to develop into a professional expert.

Competences:
EUR-ACE: Multidisciplinary competences 
EUR-ACE: Engineering practice 
EUR-ACE: Communication and team-working ",,"The specific contents of the practical training depend on the placement venue. In addition to professional competence, the core contents promote general working life skills as well as organizational and social skills.",,Contact,-,,,,,,,,Pass/Fail,School of Technology,0.0,30.0,0.0,200.0
TTC1010-3019,IT Service Platforms,3.0,Realization,"Purpose and objectives:
You recognize the service platforms for IT services. You know the procedures for the implementation of service platforms and how a service is built on the platform. You understand what kind of applications can utilize service platforms, and you understand their strengths and weaknesses.

EUR-ACE Competences:
Knowledge and Understanding
Engineering Practice
Investigations and information retrieval ",,"Virtualization
Cloud platforms
Web applications
Shared platform services
Scalability",,Contact,Data Networks,,,,,,,,0-5,School of Technology,0.0,3.0,20.0,35.0
ZW00BS75-3003,Integration into the Finnish Society,2.0,Realization,"By completing this informative course you will gain information about living in Finland, its culture, habits and practices in order to be able to integrate to the society. You will understand how Finnish society functions and you will be capable of acting as a part of the society. 

You will understand how to get employed in Finland. You will have a clear understanding of your own situation and a personal plan for integration to the society.","Weekly face-to-face lectures, group work and integration videos.

The Autumn semester will be at the main campus (Rajakatu 35), with the duration of the classes being 1,5 hours per week for 15 sessions.

The primary mode of delivery is going to be based on in-class activities on campus, and the lectures might be recorded to support opportunities for 24/7 learning.  The in-class activities deepen the learning in the forms of tutorials, individual and group work, reflections and guidance.","New in Finland 
Studying and working in Finland 
Possibilities after studies 
The Finnish system 
Life in Finland, part 1
Services in Finland 
Life in Finland, part 2",All course materials provided by the integration specialists,Contact,-,,,,"2 ECTS equals to 54 hours of student workload.
Participation to individual meetings. Participation to lectures. Completion to necessary documentation for the meetings",,,"Avoin amk 5
EduFutura 10",Pass/Fail,School of Business,0.0,2.0,0.0,0.0
ZZPP0420-3174,ICT Skills (face-to-face),3.0,Realization,"The objectives of the course
Upon completion of this course you know how to use information and communication technology with your studies. You have a basic knowledge of immaterial rights, information security, data privacy and their impact on your studies and work life. You can use the office software such as word processing, presentation graphics and spreadsheet calculating diversely. You can participate and create network meeting and use the teamwork tools.

Course competences
Ethics
Operating in a workplace
Business competence

The learning objectives of the course
You have basic knowledge of immaterial rights, information security, data privacy and their impact on your studies and work life. You can use the office software such as word processing, presentation graphics and spreadsheet calculating diversely.","Weekly tasks and learning assignments are in an e-learning environment and are carried out through office programs. Feedback is given as comments in the e-learning environment. You will be given feedback also in the conctact lesson. This supports continuous working on the course.

Teaching methods:
lectures, weekly tasks, assignments, online tests","In Basics of ICT module you will study the basic concepts of information and communication technology. You will also study basic concepts of immaterial rights, ergonomics, the environmental impact of ICT and Microsoft Teams as a communication and cooperative tool.
In Word Processing module you will study the key functions of word processing software to enable drawing up of documents conforming to document standard and reports conforming to the JUAS reporting instructions. 
In Spreadsheet module you will study the software key operations, most common functions and charts and their practical usage.
In Presentation graphics module you will study how to use a presentation graphics software to prepare a high-quality presentation. You will also study how to control and edit the presentation by using the master slides.

The course may also include on a degree program specific basis other key information technology sectors required for field-specific skills.","General learning material can be found in Microsoft Office tutorials.
Theory material for ICT Skills. https://oppimateriaalit.jamk.fi/ictskills/",Contact,-,,The weekly tasks and assignments have one actual return date and two re-sit dates. The dates are told at the beginning of the course.,,"Contact lessons, learning assignments and exercises 81 h:
 
Contact lessons and material familiarization 35 h 
Weekly tasks 16 h 
Assignments 30 h.","9 weekly tasks
5 topic based assignments","The course can be accredited if the previous course is completed in JUAS within the last 3 years. The excerpt of the study card must be included with the accreditation documents. The documents and the instructions are available on JUAS For students web pages.

If the student have no prior credits or degree directly from JUAS, the student will also create the JUAS reporting model in addition with the accreditation documents. Also the student will include a separate document formatted according to the SFS2487 standard document covering the description of the content of the previous ICT course/courses. This is done in order to verify the content of the previous course/courses.",Feedback is given as comments in the e-learning environment.,Pass/Fail,School of Business,0.0,3.0,20.0,50.0
HTGP0300-3003,Online Game Programming,5.0,Realization,"Objectives (goals):
The main objective of the course is to understand the needs, restrictions and processes of online game development. The functionality and technical choices made vary a lot between different kinds of online games. In addition to in-game mechanics there is also lots of related functionality to learn and develop, such as player matchmaking (host-client-server relations). The course looks at the theory behind numerous different kind of online game types and looks to prototype some of them (or at least use ready project bases). Learning will also include basic understanding of required hardware environments and their setup that is required to run such games.

The student learns how online functionalities are created and used through examples (in-class and ready projects).

Learning outcomes:
After completing this course, you should have an understanding on technical requirements and techniques to develop online games. You will also have basic experience on developing simple online games on your own.

Course competences:
Game production competence
Software engineering competence","The primary mode of delivery is a combination of in-class activities on campus and on-line lectures. The lectures will be recorded to support opportunities for 24/7 learning. The in-class activities deepen the learning in the forms of tutorials, individual and group works, reflection and guidance. However, if the COVID-19 or other similar situation requires the learning will be supported by on-line tutorials and activities.

A blended model:
- The course can also contain project based learning, learning tasks, knowledge tests, topic specific focus teaching, database use for challenges/problems/tutorials (problem based learning)","Have you ever wondered what it takes to make an online game?

There is a great variety of different kinds of online games, and nowadays most of the games provide some online multiplayer functionality. Sometimes it's critical to take the online features into consideration in the beginning of the development process to avoid huge budget impacts.

This course will focus on developing online games with selected game engine middleware. The course will include going through theory and implementing prototypes for most common types of online game functionality. The course will also teach the required information about hardware and cloud based systems needed to set up environment for running your own online game.","Public learning materials:
- Unity Multiplayer Networking: https://docs-multiplayer.unity3d.com/
- Unity Netcode for GameObjects manual: https://docs-multiplayer.unity3d.com/netcode/current/about
- Unity Netcode for GameObjects API: https://docs-multiplayer.unity3d.com/netcode/current/api/introduction
- Unity Boss Room (example project): https://unity.com/demos/small-scale-coop-sample
- Unity API: https://docs.unity3d.com/ScriptReference/index.html
- Unity manual: https://docs.unity3d.com/Manual/index.html
- C# programming guide: https://docs.microsoft.com/en-us/dotnet/csharp/programming-guide/

Other learning material:
- Databases in the learning environment
- Materials in the learning environment

Practicalities and used tools:
- C++ (or C#) as the programming language
- Visual Studio (or similar) as the IDE
- Unreal Engine (or Unity) as the Game Engine
- Git as the Version Control System (GitHub as the location)
- Extra reading materials can be found from the web and Books24x7
- Tutorial materials can be found from the web and YouTube
- Zoom is used for lectures
- Teams and email is used for official communication
- DiscordApp / WhatsApp / other comms are used for questions, answers and discussions
- All the sessions are recorded and the links are added to the workspace",Both,"You need to posses basic skills in game programming and game engines as well as other related tools, and therefore this course is not for you are not familiar with modern game development tools and programming.

Sufficient skills in the programming language, the game engine, and other related tools.",The course might have visiting lecturers and possibly an excursion (virtual or physical).,"There is no exam on this course. Every student reserves a 30 min evaluation slot where they will show the task and project results (portfolio) to verify the skills and knowledge required to pass the course. The evaluation will be carried out with 1-on-1 conversations together with the course teacher. The reservation of the evaluation slots will be made possible through the learning platform.

During the last 2-3 weeks after classes will be reserved for the 1-on-1 evaluations. Students can use this time to make games in voluntary game projects.",,"One credit corresponds to an average of 27 hours of work, which means that the load of five credits is approximately 135 hours. The load is distributed roughly the following way:
- Lectures: ~28h
- In-class activities: ~30h
- Tasks (weekly and other), module projects and lecture preparations: ~50h
- End task / portfolio preparations: ~27h","General scheduling - 75% compulsory participation:
- 2 hours per week for mandatory lectures (virtual)
- 2 hours per week for mandatory in-class activities (demo lectures)",,Avoin amk 10 (included in the total capacity),0-5,School of Business,2.0,3.0,20.0,35.0
HTGP0450-3007,FF Concept Lab,5.0,Realization,"The object of the course
In which way great inventions and innovations are created? What kind of a creative process is behind of a new concept, product, service or business? Concept Lab is a course where you will become acquainted with different phases and tools concerning creative concept development process. Concept cases within the course covers real life company cases and/or they can handle some topical real-life phenomena. Future is a concept now.  

Course competences
Business competence
Ethical competence
Internationalisation and communications competence
Learning and information management competence
Entrepreneurship, innovation and working community competence

The learning objectives of the course
During this course you will be acquainted with of concept development work, learn to create a concept description and take responsibility in team work and performance. You are able to determine basic aspects, abstracts and tools inside concepting process.","The primary mode of delivery is a combination of in-class activities on campus and on-line lectures. The lectures will be recorded to support opportunities for 24/7 learning. The in-class activities deepen the learning in the forms of tutorials, individual and group works, reflection and guidance. However, if the COVID-19 situation requires the learning will be supported by on-line tutorials.","The Concept Lab process consists of three parts: 
1. research of the phenomena under study / research for new concept ideas, 
2. development of a concept idea using creative methods 
3. evaluating created concept idea 

All three parts will be accomplished within the framework of the student learning workshop and are supported by course activities. The students will work in teams to carry out the analysis and planning necessary to ideate a novel concept and complete a concept description. 

As an example, students can conduct research on how an organization could develop new kinds of relations to its target audience and potential new survival concepts for the future. 

The project teams will be responsible of developing their selected concept, as well as perform all the related managerial tasks. The teams will also evaluate the performance of their project together with clients (when relevant) and teachers and present their concept description outcome as well as their learning process to the whole team.","Public learning material (books, articles, videos, etc.) that are required for passing the course (‘must know’). 

The learning material needed for completing this implementation must be described in detail in compliance with JAMK’s reporting instructions, NOT by indicating the location of the material in Optima or Moodle or by telling that the material will be announced later.",Contact,"This course is focused for the all JAMK degree programmes and e.g. exchange students but it can be included in various study modules (like diplomas or any other life-long-learning modules).

Thorough understanding of project management and project processes, completed basic studies of own field.","This field shows as ‘Working life connections’ to the students. 

Various kinds of introductions to working life, alumni cooperation, visiting lecturers, excursions (virtual or physical), etc. can be described here.",No exam,"In the study guide, this field is referred to as ‘Internationality’. Describe how the internationalisation aspect is accommodated in this implementation.","One credit corresponds to an average of 27 hours of work, which means that the load of five credits is approximately 135 hours. The load is distributed in different ways depending on the course implementation.","You can check the progress and schedule of the implementation if different kinds of phasing is involved (lab exercises, introductions to working life, etc.); indicate when they are scheduled to take place during the course implementation.

Example: Mark here if you have 2 hours per week for the whole group and another two for the splitted group.",,The assesment is based on personal assignments like learning diary as well as output and presentations of the course project. The project is done in a team of students.,0-5,School of Business,0.0,5.0,20.0,35.0
HTGP0380-3003,Game Testing,5.0,Realization,"The purpose of this course: 
Have you ever played a shooter that crashes on intense play session? Have you found glitches that are just annoying (and sometimes quite funny!), or have you ever played a game that was clearly unfinished? It quite likely that the testers have not done their job well enough, or that the studio has had some pressure to publish a game with too little testing.
It is important for every game developer to have the basic understanding of game testing, and game testing can often serve as a way to enter into the business of game development!

Course competences:
Game production competence
Software engineering competence

The learning objectives of the course:
After completing this course you will be able to design and implement game production specific testing and quality assurance overall. You can divide the game into different levels and you can design the testing to meet these levels. You can utilize different types of testing techniques to design test cases. You can utilize your possible customers for testing purposes and use proper tools to collect data about the level of quality.","The course will be conducted as contact studying at Jamk's campuses.
There will be lectures, in which the students will learn the basic theory of the course's subjects, and practical assignments which allow the students to try out the things they have learned in practice.

The course will end in a final assignment, where the students will conduct game testing/QA of their choice to an actual game. More details of this will be announced during the implementation.","In this course you will learn about the basic principles of game testing and how to manage it. In addition, we learn different game testing techniques and how to apply them in game productions. We go through the quality aspects in games and how they affect the production.","Levy, L. & Novak, J., Game Development Essentials: Game QA & Testing, 2010
Schultz, C., Game Testing All in One, 2005",Contact,,The course might have visiting lecturers and possibly an excursion (virtual or physical).,,,"One credit corresponds to an average of 27 hours of work, which means that the load of 5 credits is approximately 135 hours.
The 135 hours will divide roughly in the following:
Lectures: 30 h
Final Project: 30 h
Self-study: 75 h",,,"Avoin amk 2
EduFutura 3",0-5,School of Business,0.0,5.0,20.0,40.0
HTGP0480-3002,Ticorporate Product Lab,20.0,Realization,"The object of the course 
Ticorporate Product Lab acts kind of as a product incubator for software and game developer teams. Product Labs purpose is to give students a chance to prove their worth and teach them how to create financially responsible product. During Ticorporate Product Lab you will work with a small team of future professionals towards finishing something. That something could be a well defined product concept, vertical slice, demo, service or ready product. 

You will create realistic business plans and projections for your product. You will, at the very least, research on how to publish your product. You will be getting guidance and tutoring from real life industry professionals. You will work in a designated role within the team. Roles consists from project management (Product Owner, Scrum Master) and a productive role (tester, programmer, businessperson, audio or graphics developer, etc based on project needs).  

Course Competences
Business competence
Software engineering competence
System and methods in ICT
Cross-disciplinary competence in games
Game production competence
Software development competence
Specialization in ICT 
Ethical competence
Internationalisation and communications competence
Learning and information management competence
Entrepreneurship, innovation and working community competence 

The learning objectives of the course 
You understand the needs and requirements of product development that is focusing on publishing a product. You know how to collect data from the market, analyse it and use it to support the development. You deepen the skills on their selected product development area.

During the course, you will also write a thesis that supports your project.",,"In the course you will work independently on an agile team that works on a product. You will be working in a selected different role.  
During the course there will be lectures that apply to your selected roles. 

Concept development and testing.
Product development under business representatives’ guidance.
Publishing through selected channel(s).",,Contact,"Understanding of project management, project processes and software engineering. Completed basic studies of own field. Knowledge of at least one of these 

- Technological skills (e.g. programming, testing, infrastructure) 
- Content production skills (e.g. 2D/3D/SFX/Level Design/UI design) 
- Business skills (e.g. marketing, sales)",,,,,,,,0-5,School of Business,0.0,20.0,20.0,30.0
HTGP0370-3002,Game Entrepreneurship,5.0,Realization,"The object of the course:

This course provides you with basic knowledge of entrepreneurship, game start-ups and profitable business in game industry. In this course you can evaluate your own entrepreneur skills and expand your understanding of the game industry.

Course competences:
Business competence
Game production competence

The learning objectives of the course:
After this course you will know what it takes to start up a game studio. You will understand the requirements from the technological, business, personnel and funding point of views. You will understand how to plan and manage the cash flow and what kind of sources can be used to support your game business.","Online lectures, assignments",This course is a game related part for the entrepreneurial studies. In this course you will not develop (of course you can) your own business but more to get acquainted with the specialties in the game industry. You will learn how the funding is organized in game business and what kind of sources there are to be used. What is the role of the publisher and what kind of agreements you are to be made with them? You will also learn what is the role of marketing and how that should applied in start-ups.,,Contact,You need to have entrepreneurial skills and understanding of the terms and acronyms in the business overall.,,,,,,,,0-5,School of Business,0.0,5.0,20.0,30.0
